Дата,CPI
24.01.2006,224
25.01.2006,228.38
26.01.2006,224.47
27.01.2006,228.75
30.01.2006,216
31.01.2006,219.02
01.02.2006,223.99
02.02.2006,221.5
03.02.2006,221.01
06.02.2006,220.45
07.02.2006,220.5
08.02.2006,221
09.02.2006,222
10.02.2006,222
13.02.2006,219.95
14.02.2006,219.89
15.02.2006,219.78
16.02.2006,220
17.02.2006,226.5
20.02.2006,228.2
21.02.2006,225
22.02.2006,225.38
26.02.2006,227.38
27.02.2006,225.21
28.02.2006,218.79
01.03.2006,217.98
02.03.2006,218.98
03.03.2006,228.9
06.03.2006,231.99
07.03.2006,223.86
09.03.2006,219.2
10.03.2006,217.11
13.03.2006,223.3
14.03.2006,220.35
15.03.2006,221.23
16.03.2006,220.7
17.03.2006,229.3
20.03.2006,225.75
21.03.2006,224.4
22.03.2006,225.19
23.03.2006,226.5
24.03.2006,229.9
27.03.2006,231.63
28.03.2006,228.45
29.03.2006,228.62
30.03.2006,230.4
31.03.2006,230.15
03.04.2006,230.5
04.04.2006,231.52
05.04.2006,238.5
06.04.2006,243.3
07.04.2006,250.29
10.04.2006,268.7
11.04.2006,262.5
12.04.2006,264.7
13.04.2006,263.49
14.04.2006,267.9
17.04.2006,269.45
18.04.2006,271.69
19.04.2006,278.29
20.04.2006,276.11
21.04.2006,280.19
24.04.2006,286.97
25.04.2006,285
26.04.2006,309.3
27.04.2006,304.7
28.04.2006,310.25
02.05.2006,320.3
03.05.2006,323.36
04.05.2006,332.48
05.05.2006,336.35
06.05.2006,350.25
10.05.2006,331.8
11.05.2006,334.92
12.05.2006,320.2
15.05.2006,301.99
16.05.2006,306.99
17.05.2006,292.2
18.05.2006,283.5
19.05.2006,273.5
22.05.2006,240.68
23.05.2006,267
24.05.2006,258.49
25.05.2006,272.4
26.05.2006,291.3
29.05.2006,282.49
30.05.2006,282.9
31.05.2006,283
01.06.2006,287.99
02.06.2006,298.9
05.06.2006,297.86
06.06.2006,277.66
07.06.2006,280.4
08.06.2006,251.5
09.06.2006,255.67
13.06.2006,228
14.06.2006,244
15.06.2006,257.88
16.06.2006,258.17
19.06.2006,259.99
20.06.2006,264
21.06.2006,264
22.06.2006,259.15
23.06.2006,260
26.06.2006,257.9
27.06.2006,266.22
28.06.2006,266.31
29.06.2006,275.5
30.06.2006,281.83
03.07.2006,285.65
04.07.2006,286.8
05.07.2006,273.21
06.07.2006,285
07.07.2006,277.85
10.07.2006,280
11.07.2006,274.55
12.07.2006,277.01
13.07.2006,261.6
14.07.2006,265
17.07.2006,258.12
18.07.2006,262.97
19.07.2006,271.2
20.07.2006,268.3
21.07.2006,266.88
24.07.2006,272
25.07.2006,269.77
26.07.2006,270.75
27.07.2006,280.8
28.07.2006,279.55
31.07.2006,277.88
01.08.2006,275.66
02.08.2006,280.51
03.08.2006,284.89
04.08.2006,290.99
07.08.2006,294.49
08.08.2006,294.2
09.08.2006,304.82
10.08.2006,306.05
11.08.2006,313.45
14.08.2006,312.1
15.08.2006,312.4
16.08.2006,312.99
17.08.2006,304.68
18.08.2006,292.4
21.08.2006,300.15
22.08.2006,307.9
23.08.2006,309.17
24.08.2006,308.1
25.08.2006,313.29
28.08.2006,311.2
29.08.2006,310
30.08.2006,312.3
31.08.2006,313.45
01.09.2006,309.19
04.09.2006,311.2
05.09.2006,310.65
06.09.2006,302.2
07.09.2006,294.98
08.09.2006,298.01
11.09.2006,284.44
12.09.2006,289.9
13.09.2006,293.99
14.09.2006,292.18
15.09.2006,291.75
18.09.2006,293.82
19.09.2006,294.75
20.09.2006,288.01
21.09.2006,280.8
22.09.2006,272
25.09.2006,262.1
26.09.2006,273.91
27.09.2006,276.61
28.09.2006,289.7
29.09.2006,288
02.10.2006,290.1
03.10.2006,282.3
04.10.2006,286.19
05.10.2006,295.69
06.10.2006,293.2
09.10.2006,300.18
10.10.2006,294.82
11.10.2006,295.49
12.10.2006,290.6
13.10.2006,298.25
16.10.2006,297.78
17.10.2006,294
18.10.2006,299.69
19.10.2006,300.1
20.10.2006,297.2
23.10.2006,293.69
24.10.2006,293.05
25.10.2006,296.25
26.10.2006,291.5
27.10.2006,286.13
30.10.2006,277.28
31.10.2006,282.19
01.11.2006,291
02.11.2006,287.99
03.11.2006,291
07.11.2006,292.74
08.11.2006,289.7
09.11.2006,292.8
10.11.2006,291.99
13.11.2006,290.97
14.11.2006,293.53
15.11.2006,294
16.11.2006,293.64
17.11.2006,288.13
20.11.2006,285.69
21.11.2006,291.4
22.11.2006,288.01
23.11.2006,289.7
24.11.2006,290.2
27.11.2006,288.75
